Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_s,Session
0 days 00:20:13.553000,COL,43,0 days 00:01:21.554000,2.0,1.0,,,0 days 00:00:21.906000,0 days 00:00:38.005000,0 days 00:00:21.643000,0 days 00:19:13.905000,0 days 00:19:51.910000,0 days 00:20:13.553000,181.0,179.0,261.0,272.0,True,HARD,2.0,True,Alpine,0 days 00:18:51.999000,2025-05-23 11:33:52.006,1,,False,,False,True,81.554,FP1
0 days 00:21:31.817000,COL,43,0 days 00:01:18.264000,3.0,1.0,,,0 days 00:00:20.706000,0 days 00:00:36.862000,0 days 00:00:20.696000,0 days 00:20:34.259000,0 days 00:21:11.121000,0 days 00:21:31.817000,198.0,184.0,262.0,273.0,True,HARD,3.0,True,Alpine,0 days 00:20:13.553000,2025-05-23 11:35:13.560,1,,False,,False,True,78.264,FP1
0 days 00:32:59.095000,COL,43,0 days 00:01:17.385000,7.0,2.0,,,0 days 00:00:20.513000,0 days 00:00:36.473000,0 days 00:00:20.399000,0 days 00:32:02.223000,0 days 00:32:38.696000,0 days 00:32:59.095000,203.0,183.0,261.0,271.0,True,HARD,7.0,False,Alpine,0 days 00:31:41.710000,2025-05-23 11:46:41.717,1,,False,,False,True,77.385,FP1
0 days 00:35:56.644000,COL,43,0 days 00:01:16.777000,9.0,2.0,,,0 days 00:00:20.280000,0 days 00:00:35.999000,0 days 00:00:20.498000,0 days 00:35:00.147000,0 days 00:35:36.146000,0 days 00:35:56.644000,199.0,185.0,263.0,273.0,True,HARD,9.0,False,Alpine,0 days 00:34:39.867000,2025-05-23 11:49:39.874,1,,False,,False,True,76.777,FP1
0 days 00:38:50.930000,COL,43,0 days 00:01:15.875000,11.0,2.0,,,0 days 00:00:20.053000,0 days 00:00:35.723000,0 days 00:00:20.099000,0 days 00:37:55.108000,0 days 00:38:30.831000,0 days 00:38:50.930000,201.0,189.0,264.0,274.0,True,HARD,11.0,False,Alpine,0 days 00:37:35.055000,2025-05-23 11:52:35.062,1,,False,,False,True,75.875,FP1
0 days 00:42:01.132000,COL,43,0 days 00:01:15.683000,13.0,2.0,,,0 days 00:00:19.950000,0 days 00:00:35.552000,0 days 00:00:20.181000,0 days 00:41:05.399000,0 days 00:41:40.951000,0 days 00:42:01.132000,208.0,191.0,262.0,275.0,True,HARD,13.0,False,Alpine,0 days 00:40:45.449000,2025-05-23 11:55:45.456,1,,False,,False,True,75.683,FP1
0 days 00:44:58.777000,COL,43,0 days 00:01:15.118000,15.0,2.0,,,0 days 00:00:19.903000,0 days 00:00:35.234000,0 days 00:00:19.981000,0 days 00:44:03.562000,0 days 00:44:38.796000,0 days 00:44:58.777000,212.0,192.0,261.0,273.0,True,HARD,15.0,False,Alpine,0 days 00:43:43.659000,2025-05-23 11:58:43.666,1,,False,,False,True,75.118,FP1
0 days 00:57:26.063000,COL,43,0 days 00:01:14.483000,18.0,3.0,,,0 days 00:00:19.613000,0 days 00:00:35.181000,0 days 00:00:19.689000,0 days 00:56:31.193000,0 days 00:57:06.374000,0 days 00:57:26.063000,208.0,187.0,262.0,272.0,True,SOFT,2.0,True,Alpine,0 days 00:56:11.580000,2025-05-23 12:11:11.587,12,,False,,False,True,74.483,FP1
0 days 01:00:33.432000,COL,43,0 days 00:01:14.250000,20.0,3.0,,,0 days 00:00:19.472000,0 days 00:00:34.999000,0 days 00:00:19.779000,0 days 00:59:38.654000,0 days 01:00:13.653000,0 days 01:00:33.432000,215.0,196.0,265.0,277.0,True,SOFT,4.0,True,Alpine,0 days 00:59:19.182000,2025-05-23 12:14:19.189,1,,False,,False,True,74.25,FP1
0 days 01:03:38.499000,COL,43,0 days 00:01:14.059000,22.0,3.0,,,0 days 00:00:19.618000,0 days 00:00:34.845000,0 days 00:00:19.596000,0 days 01:02:44.058000,0 days 01:03:18.903000,0 days 01:03:38.499000,214.0,196.0,263.0,275.0,True,SOFT,6.0,True,Alpine,0 days 01:02:24.440000,2025-05-23 12:17:24.447,1,,False,,False,True,74.059,FP1
